"","Talla","Lance","Frecuencia"
"507","14.5","16",0.16
"508","15","16",0.105
"509","15.5","16",0.045
"510","16","16",0.005
"511","16.5","16",0.005
"512","17","16",0
"513","17.5","16",0
"514","18","16",0
"515","18.5","16",0
"516","19","16",0
"517","19.5","16",0
"518","20","16",0
"519","2","17",0
"520","2.5","17",0
"521","3","17",0
"522","3.5","17",0
"523","4","17",0
"524","4.5","17",0
"525","5","17",0
"526","5.5","17",0
"527","6","17",0
"528","6.5","17",0
"529","7","17",0.005
"530","7.5","17",0.01
"531","8","17",0.02
"532","8.5","17",0.01
"533","9","17",0.005
"534","9.5","17",0.03
"535","10","17",0.005
"536","10.5","17",0.005
"537","11","17",0
"538","11.5","17",0.015
"539","12","17",0.05
"540","12.5","17",0.175
"541","13","17",0.14
"542","13.5","17",0.225
"543","14","17",0.18
"544","14.5","17",0.06
"545","15","17",0.03
"546","15.5","17",0.015
"547","16","17",0.015
"548","16.5","17",0.005
"549","17","17",0
"550","17.5","17",0
"551","18","17",0
"552","18.5","17",0
"553","19","17",0
"554","19.5","17",0
"555","20","17",0
"556","2","18",0
"557","2.5","18",0
"558","3","18",0
"559","3.5","18",0
"560","4","18",0
"561","4.5","18",0
"562","5","18",0
"563","5.5","18",0
"564","6","18",0.0625
"565","6.5","18",0.125
"566","7","18",0
"567","7.5","18",0
"568","8","18",0.0625
"569","8.5","18",0.0625
"570","9","18",0
"571","9.5","18",0
"572","10","18",0.125
"573","10.5","18",0.0625
"574","11","18",0
"575","11.5","18",0
"576","12","18",0
"577","12.5","18",0
"578","13","18",0
"579","13.5","18",0.125
"580","14","18",0.3125
"581","14.5","18",0.0625
"582","15","18",0
"583","15.5","18",0
"584","16","18",0
"585","16.5","18",0
"586","17","18",0
"587","17.5","18",0
"588","18","18",0
"589","18.5","18",0
"590","19","18",0
"591","19.5","18",0
"592","20","18",0
